id,method,factors,nobs,ncat,bias_withC_L_SE6,bias_withC_L_SEa,bias_withC_L_SE7,bias_withC_T_SEi6,bias_withC_T_SEi7,bias_withC_C_SE1
1959,PML,2,400,2,0.3024534064468079,-0.2601925350492598,0.09807680893490281,0.4190566118989242,0.4414831938406666,0.005874698573855863
1960,PML,2,400,2,0.2260422619141285,-0.3214381825959303,-0.12708893632401713,0.4282040965151848,0.4486391583148966,-0.21733542798082345
1961,PML,2,400,2,0.07072462807802826,-0.029554718775989808,-0.5883720006401569,0.42663422563640474,0.4486488361361063,0.06628266366811575
1962,PML,2,400,2,-0.5032792101961823,-0.0037321187463398853,0.5848346682781135,0.4277432871001255,0.44969182768085647,0.3436427517210766
1963,PML,2,400,2,0.10524451192680806,0.2681457187993397,0.9444220791028233,0.42319400829805426,0.4510528462388558,-0.05996502153213373
1964,PML,2,400,2,-0.6108626534797421,-0.32598897220487977,-0.10652436822436717,0.4282499101272749,0.4139714324886967,0.5319924059973863
1965,PML,2,400,2,0.22577180937889824,-0.07149593025781026,-0.07462872540628662,0.42820267799283523,0.44829043398358637,0.08499063457164668
1966,PML,2,400,2,-0.06132775193814152,0.30831609529232,0.37689752739373317,0.42707744973187467,0.4479362936499365,0.22935940644206593
1967,PML,2,400,2,-0.38900337859477174,-0.07218458310000037,0.015554616649623293,0.4276483144740745,0.44928439424547634,0.46341387040828574
1968,PML,2,400,2,-0.31193420428831176,-0.15254365245638973,-0.16072356888162664,0.4272728171334353,0.44136160333053676,-0.5592991323898039
1969,PML,2,400,2,-0.03856195172605159,0.11009580714722023,1.1712513406223535,0.42371389373369456,0.43066358978587627,0.41828029217391566
1970,PML,2,400,2,-0.5918435360154419,0.09623874016204959,0.3376515350191629,0.427722832525515,0.4463595331082759,0.2904396358020561
1971,PML,2,400,2,-0.7285760332392116,-0.7064733301290205,-0.06419422706167716,0.42782508621621446,0.4462109779385062,-0.08615918770209369
1972,PML,2,400,2,-0.2509424165718317,-0.04619848377858948,-0.3900792855326768,0.4037994548558854,0.44667080042460616,0.3243106081448163
1973,PML,2,400,2,0.24920129687463835,0.060370109202489974,0.43177516273640304,0.4271863143915547,0.43584080438818645,0.40576965013897626
1974,PML,2,400,2,-0.10551185718176218,-0.16369250656455003,-0.4542407902889172,0.41819755088774446,0.44197109318952627,0.21453520061231607
1975,PML,2,400,2,-0.12719995132156187,-0.01467275656274053,-0.5367958734708765,0.4234422618303854,0.446412778850476,-0.13807785658742355
1976,PML,2,400,2,-0.35902753473665217,-0.6593791968951102,0.41041372403149284,0.4265804080069449,0.4454627701925465,0.2742918475226064
1977,PML,2,400,2,-0.6472850764426413,-0.6569683007683194,-0.18789744398765712,0.4282924730331053,0.44881987250491584,0.2206900639098966
1978,PML,2,400,2,-1.176150691240202,-0.5757733218725802,0.08399838904531304,0.42536928200579555,0.4489846984896059,0.30773178100539644
1979,PML,2,400,2,-0.27273592560426163,0.15088735468515024,0.5872746080544035,0.41942025133043515,0.4488529295138863,0.1528138184588662
1980,PML,2,400,2,-0.3158959537339322,-0.10991928288100056,-0.41557210055634675,0.4276113694357847,0.4424231724118363,0.05907860223996614
1981,PML,2,400,2,-0.7988562890331716,-0.3258303304227106,-0.16290657631561692,0.42337312490522555,0.44235161453750615,0.21887067493279594
1982,PML,2,400,2,-0.22163759619218196,0.021815161877650202,-0.21503328019181686,0.42802305391161505,0.4475145448809656,-0.20875749072718358
1983,PML,2,400,2,-0.7808482887742316,0.061256002582979474,0.4016998825646434,0.42575466071375495,0.44953213937817676,0.03740812544801575
1984,PML,2,400,2,0.45581675921122844,0.2468293059226606,-0.04726628115064718,0.425249177614305,0.44697447324592576,-0.03779297528851422
1985,PML,2,400,2,-1.3927096634792315,-0.6288666462713699,0.5181537034547629,0.42695287447253455,0.4469375280345661,-0.3473010109634245
